"subarea","age","theta","alpha","lambda","rho","mae","rmse"
1,1,8,0.1,0.227584592607479,0.220311233514863,0.856551341424593,1.15052101435534
1,2,1,0.6,0.000999999999999999,0.990944631140208,0.0823789433897225,0.132054389820623
1,3,2,1,0.0193069772888325,0.91084425215342,0.320907752484923,0.406069029702934
1,4,3,1,0.0117876863479359,0.891370810453962,0.326464816561038,0.440918929771675
1,5,1.5,1,0.0193069772888325,0.906120682945276,0.290152787490156,0.412628334920443
1,6,0.75,1,0.0193069772888325,0.960687486445386,0.17531982531756,0.263264650799914
1,7,2,0.3,0.00719685673001152,0.974395370674006,0.160293672077479,0.222518451038759
2,1,3,0,1,0.426153889492453,0.541056956475257,0.934830633236967
2,2,6,1,0.00268269579527972,0.994907987544655,0.0659396374925227,0.103738023335767
2,3,0.5,1,0.0117876863479359,0.980423737955465,0.14375975253017,0.196293448393323
2,4,0,1,0.0193069772888325,0.93883570353746,0.189274674854354,0.336824818132319
2,5,0,1,0.0316227766016838,0.928653729382022,0.262298126766801,0.358528192628943
2,6,0,1,0.0193069772888325,0.963293805072014,0.18603741621416,0.250668303569887
2,7,2,0.2,0.0117876863479359,0.976821474237021,0.144942512900266,0.209914814026585
3,1,0.1,0.9,0.0848342898244071,0.140126315657584,0.788816982685904,0.984897102266943
3,2,8,1,0.00163789370695406,0.984907923531984,0.136296719437688,0.169764361375735
3,3,0.75,1,0.0193069772888325,0.964865641313393,0.203462489651656,0.25870504643419
3,4,3,1,0.0117876863479359,0.913677022537128,0.308980459757864,0.400229605525232
3,5,8,1,0.00439397056076079,0.872191543408263,0.364907306462031,0.485054658373346
3,6,3,0.9,0.00719685673001152,0.959985018431718,0.198283328902527,0.272430591718058
3,7,0.75,1,0.0316227766016838,0.956649136903377,0.206463287504827,0.285837200009351
